,Nome,Idade,Posicao,Media,Potencial,Time,Salario,Total_Pontos
0, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
1, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
2, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
3, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
4, Isco,28,CAM,83,83,Real Madrid,€190K,2077
5, S. Córdova,23,LM,75,83,Club América,€30K,1940
6, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
7, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
8, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
9, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
10, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
11, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
12, Nanu,26,RB,73,76,FC Porto,€10K,1969
13, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
14, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
15, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
16, B. Saka,18,RM,77,88,Arsenal,€25K,1968
17, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
18, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
19, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
20, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
21, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
22, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
23, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
24, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
25, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
26, N. Madueke,18,RM,72,87,PSV,€5K,1792
27, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
28, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
29, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
30, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
31, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
32, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
33, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
34, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
35, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
36, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
37, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
38, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
39, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
40, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
41, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
42, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
43, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
44, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
45, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
46, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
47, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
48, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
49, Antony,20,RW,79,88,Ajax,€17K,1939
50, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
51, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
52, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
53, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
54, R. Jones,17,ST,59,82,Peterborough United,€500,1544
55, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
56, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
57, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
58, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
59, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
60, T. Nianzou,18,CB,71,85,FC Bayern München,€10K,1652
61, M. Ødegaard,21,CAM,83,89,Arsenal,€135K,2096
62, C. Tzolis,18,LW,70,87,PAOK,€500,1815
63, G. Bale,30,RM,82,82,Tottenham Hotspur,€170K,2194
64, K. Mbappé,21,ST,90,95,Paris Saint-Germain,€160K,2147
65, R. Lewandowski,31,ST,92,92,FC Bayern München,€270K,2213
66, A. Davies,19,LB,81,89,FC Bayern München,€40K,2111
67, Riqui Puig,20,CM,75,87,FC Barcelona,€77K,1889
68, J. Kimmich,25,CDM,89,90,FC Bayern München,€150K,2284
69, Neymar Jr,28,LW,91,91,Paris Saint-Germain,€270K,2175
70, D. Kulusevski,20,RW,78,88,Juventus,€58K,2005
71, J. Sancho,20,RM,86,92,Borussia Dortmund,€76K,1999
72, A. Aouchiche,17,CAM,71,83,AS Saint-Étienne,€2K,1786
73, Bruno Fernandes,25,CAM,88,91,Manchester United,€240K,2336
74, C. Jones,19,CM,71,86,Liverpool,€25K,1856
75, K. Havertz,21,CAM,84,92,Chelsea,€95K,2052
76, W. Fofana,19,CB,75,85,Leicester City,€30K,1724
77, A. Griezmann,29,ST,86,86,FC Barcelona,€270K,2276
78, H. Son,27,LM,89,89,Tottenham Hotspur,€210K,2146
79, Marcos Llorente,25,CM,84,87,Atlético Madrid,€78K,2238
80, B. Brobbey,18,ST,68,83,Ajax,€3K,1677
81, I. Moriba,17,CM,65,85,FC Barcelona,€4K,1742
82, R. James,20,RB,78,86,Chelsea,€53K,2035
83, C. De Ketelaere,19,ST,73,86,Club Brugge KV,€13K,1933
84, F. de Jong,23,CM,86,91,FC Barcelona,€210K,2189
85, J. David,20,ST,77,86,LOSC Lille,€29K,1818
86, J. Koundé,21,CB,81,87,Sevilla FC,€23K,1835
87, João Félix,20,CF,83,93,Atlético Madrid,€61K,2072
88, I. Konaté,21,CB,78,88,RB Leipzig,€33K,1725
89, S. Haller,26,ST,80,82,Ajax,€23K,1948
90, K. Dembélé,17,RM,63,82,Celtic,€1K,1469
91, B. Kamara,20,CDM,79,85,Olympique de Marseille,€29K,1902
92, Vinícius Jr.,19,LW,80,90,Real Madrid,€95K,1916
93, H. Elliott,17,RW,70,87,Blackburn Rovers,€9K,1610
94, Gabriel Martinelli,19,LW,74,86,Arsenal,€38K,1844
95, T. Kubo,19,RM,75,88,Getafe CF,€59K,1826
96, A. Gignac,34,ST,81,81,Tigres U.A.N.L.,€66K,2018
97, E. Tapsoba,21,CB,80,87,Bayer 04 Leverkusen,€44K,1875
98, A. Hakimi,21,RM,83,88,Inter,€90K,2150
99, E. Smith Rowe,19,CAM,73,85,Arsenal,€30K,1719
100, N. Mukiele,22,RB,80,86,RB Leipzig,€46K,1950
101, C. Pulisic,21,LW,81,87,Chelsea,€83K,1946
102, D. Rice,21,CDM,79,86,West Ham United,€31K,1823
103, Eric García,19,CB,73,85,Manchester City,€36K,1657
104, T. Werner,24,ST,84,87,Chelsea,€125K,2016
105, S. Tonali,20,CDM,77,88,Milan,€25K,2085
106, N. González,22,ST,76,83,VfB Stuttgart,€23K,1898
107, Rodrygo,19,RW,79,90,Real Madrid,€90K,1931
108, H. Lozano,24,RW,81,84,Napoli,€71K,2002
109, M. Rashford,22,LM,85,91,Manchester United,€150K,2158
110, B. Arrey-Mbi,17,CB,62,85,Bayern München II,€500,1495
111, Trincão,20,RW,77,87,FC Barcelona,€95K,1906
112, A. Valencia,34,RB,78,78,Querétaro,€13K,2067
113, D. Man,21,RW,74,84,FCSB (Steaua),€13K,1947
114, L. Stergiou,18,CB,67,86,FC St. Gallen,€1K,1529
115, Fábio Silva,17,ST,69,85,Wolverhampton Wanderers,€7K,1621
116, A. Velasco,17,LM,71,85,Independiente,€2K,1852
117, M. Boadu,19,ST,75,85,AZ Alkmaar,€7K,1812
118, M. Aarons,20,RB,74,83,Norwich City,€8K,1788
119, B. Williams,19,LB,75,83,Manchester United,€40K,1904
120, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
121, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
122, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
123, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
124, Isco,28,CAM,83,83,Real Madrid,€190K,2077
125, S. Córdova,23,LM,75,83,Club América,€30K,1940
126, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
127, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
128, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
129, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
130, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
131, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
132, Nanu,26,RB,73,76,FC Porto,€10K,1969
133, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
134, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
135, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
136, B. Saka,18,RM,77,88,Arsenal,€25K,1968
137, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
138, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
139, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
140, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
141, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
142, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
143, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
144, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
145, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
146, N. Madueke,18,RM,72,87,PSV,€5K,1792
147, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
148, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
149, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
150, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
151, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
152, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
153, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
154, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
155, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
156, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
157, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
158, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
159, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
160, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
161, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
162, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
163, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
164, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
165, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
166, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
167, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
168, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
169, Antony,20,RW,79,88,Ajax,€17K,1939
170, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
171, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
172, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
173, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
174, R. Jones,17,ST,59,82,Peterborough United,€500,1544
175, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
176, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
177, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
178, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
179, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
180, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
181, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
182, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
183, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
184, Isco,28,CAM,83,83,Real Madrid,€190K,2077
185, S. Córdova,23,LM,75,83,Club América,€30K,1940
186, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
187, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
188, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
189, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
190, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
191, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
192, Nanu,26,RB,73,76,FC Porto,€10K,1969
193, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
194, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
195, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
196, B. Saka,18,RM,77,88,Arsenal,€25K,1968
197, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
198, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
199, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
200, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
201, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
202, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
203, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
204, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
205, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
206, N. Madueke,18,RM,72,87,PSV,€5K,1792
207, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
208, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
209, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
210, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
211, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
212, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
213, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
214, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
215, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
216, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
217, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
218, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
219, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
220, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
221, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
222, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
223, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
224, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
225, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
226, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
227, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
228, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
229, Antony,20,RW,79,88,Ajax,€17K,1939
230, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
231, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
